"SRNumber","CreatedDate","RequestType","Status","Address","Latitude","Longitude","CD","NCName"
"1-3238969161","2023-01-06T09:24:27.000","Illegal Dumping Pickup","Closed","5838 N LARAMIE AVE, 91367","34.1768811525","-118.574837033","3","Woodland Hills-Warner Center"
"1-3238971231","2023-01-06T09:24:29.000","Bulky Items","Closed","21041 W BRYANT ST, 91304","34.2270782922","-118.592203821","3","Canoga Park"
"1-3238970051","2023-01-06T09:24:29.000","Graffiti Removal","Closed","7600 N LINDLEY AVE, 91335","34.2087448745","-118.527196082","4","Reseda"
"1-3238973491","2023-01-06T09:24:55.000","Bulky Items","Closed","23045 W MARIANO ST, 91367","34.1684245213","-118.629349085","3","Woodland Hills-Warner Center"
"1-3238975651","2023-01-06T09:24:55.000","Bulky Items","Closed","8735 S DELGANY AVE, 90293","33.9549136386","-118.439322197","11","Westchester/Playa"
"1-3238980441","2023-01-06T09:25:15.000","Graffiti Removal","Cancelled","5946 N FAIRHAVEN AVE, 91367","34.1771407334","-118.65391187","3","Woodland Hills-Warner Center"
"1-3238984141","2023-01-06T09:25:38.000","Homeless Encampment","Pending","1620 S LINCOLN BLVD, 90291","33.9970037349","-118.458495499","11","Venice"
"1-3238987831","2023-01-06T09:26:17.000","Bulky Items","Closed","7646 W KYLE ST, 91042","34.2644338956","-118.299598461","7","Sunland-Tujunga"
"1-3238999761","2023-01-06T09:26:27.000","Bulky Items","Closed","8024 S CROYDON AVE, 90045","33.9653135092","-118.392354583","11","Westchester/Playa"
"1-3238996821","2023-01-06T09:26:34.000","Illegal Dumping Pickup","Closed","904 S KINGSLEY DR, 90006","34.0556249044","-118.302975033","10","Wilshire Center-Koreatown"
"1-3238998591","2023-01-06T09:26:49.000","Bulky Items","Closed","2019 N AVON ST, 90026","34.0875357422","-118.248182679","13","Echo Park"
"1-3239015211","2023-01-06T09:28:03.000","Bulky Items","Closed","21041 W BRYANT ST, 91304","34.2270782922","-118.592203821","3","Canoga Park"
"1-3239021821","2023-01-06T09:28:41.000","Bulky Items","Closed","6719 W 86TH PL, 90045","33.9593829504","-118.407287747","11","Westchester/Playa"
"1-3239022011","2023-01-06T09:29:01.000","Bulky Items","Closed","1320 W 85TH ST, 90044","33.9607008686","-118.29899353","8","Empowerment Congress Southwest"
"1-3239026111","2023-01-06T09:29:06.000","Homeless Encampment","Closed","6700 N HASKELL AVE, 91406","34.1919596444","-118.474844776","6","Lake Balboa"
"1-3239036681","2023-01-06T09:30:20.000","Graffiti Removal","Cancelled","115 W AVENUE 26, 90031","34.0775535855","-118.21626154","1","Lincoln Heights"
"1-3239040581","2023-01-06T09:30:27.000","Bulky Items","Closed","2424 S BOONE AVE, 90291","33.9857140978","-118.458540277","11","Venice"
